,A.1 Expected Annual Damage,A.1 Expected Number of Deaths,A.2 Expected Annual Damage,A.2 Expected Number of Deaths,A.4 Expected Annual Damage,A.4 Expected Number of Deaths,A.5 Expected Annual Damage,A.5 Expected Number of Deaths,Total Infrastructure Costs
462,2074054363.4903603,1.536670110676233,0.0,0.0,0.0,0.0,0.0,0.0,11068771.68625446
463,0.0,0.0,19309189.22456273,0.017803870004934684,53332863.10226673,0.023898594533327017,202605515.64116186,0.16948704090907335,11068771.68625446
464,196952950.23190835,0.16329217327749473,348071871.5696568,0.3657826383778517,0.0,0.0,0.0,0.0,11068771.68625446
465,1682799491.5509212,1.5377186194491497,1117220.1841530302,0.0014476266411104772,0.0,0.0,4336129.34476961,0.00546186715754441,11068771.68625446
466,2074960471.7392597,1.5301481708726574,0.0,0.0,0.0,0.0,0.0,0.0,11068771.68625446
467,0.0,0.0,24423579.63005025,0.02354546621241156,0.0,0.0,476364350.95608145,0.4191827799505631,11068771.68625446
468,0.0,0.0,16183306.184107702,0.01779750402131986,0.0,0.0,0.0,0.0,11068771.68625446
469,1390534042.5935655,0.8268647132313813,0.0,0.0,0.0,0.0,91019957.49896961,0.07325012956229426,11068771.68625446
470,0.0,0.0,23883791.39055921,0.029339193932076756,0.0,0.0,0.0,0.0,11068771.68625446
471,0.0,0.0,32496522.400842365,0.0404458213434368,0.0,0.0,9613750.61758767,0.011421330606279109,11068771.68625446
472,6049841.8697515605,0.004431632308434515,41761195.00279321,0.04035378652010065,0.0,0.0,322643736.25885844,0.29016814620103426,11068771.68625446
473,378002552.0764832,0.2735210244699117,0.0,0.0,0.0,0.0,0.0,0.0,11068771.68625446
474,0.0,0.0,29967471.36228114,0.023868952992358236,99459850.4066349,0.03703622410513292,0.0,0.0,11068771.68625446
475,2492491782.6176276,1.5508684395578367,0.0,0.0,0.0,0.0,0.0,0.0,11068771.68625446
476,2102639018.7970405,1.5192385420034222,0.0,0.0,0.0,0.0,0.0,0.0,11068771.68625446
477,184959892.24662122,0.16805360911516984,0.0,0.0,0.0,0.0,0.0,0.0,11068771.68625446
478,1783069482.0487452,1.4059970355518248,271637827.8052585,0.27511738856836976,0.0,0.0,0.0,0.0,11068771.68625446
479,2045231526.3575127,1.5099888593774593,0.0,0.0,0.0,0.0,2085813.9554443886,0.0020840557708416696,11068771.68625446
480,0.0,0.0,40882387.90463793,0.0412768648614439,0.0,0.0,532002840.2816774,0.49325031168621564,11068771.68625446
481,68819781.97882083,0.046694326889387454,3389567.199291408,0.0031627707258805055,4464318.243443454,0.0022936093388686856,21155036.568542354,0.018327860693141147,11068771.68625446
482,2505840467.693682,1.5612328443865024,251342943.4466949,0.20257993378949146,0.0,0.0,0.0,0.0,11068771.68625446
483,2700222162.565398,1.5285195967451979,0.0,0.0,0.0,0.0,0.0,0.0,11068771.68625446
484,0.0,0.0,38954023.50377706,0.055740197453825066,0.0,0.0,236748448.28619212,0.316426572098253,11068771.68625446
485,58799534.63700341,0.04463340312735522,749085684.5231973,0.6802748048673786,0.0,0.0,0.0,0.0,11068771.68625446
486,65200838.755255,0.06071525268007246,15513748.11404385,0.01959092664859467,0.0,0.0,806353843.1999817,0.9100723770810808,11068771.68625446
